A,B,B_val,C,D,E
91105,,303920,1641.7,25925,91933
95429,,271850,1797.8,26119,65018
99930,247220,247220,3240.6,25183,47290
139050,270550,270550,6355.9,24126,41355
275890,408950,408950,8080.9,23254,48044
482950,,640770,7630.2,22497,52656
623230,813780,813780,5676.8,21795,48047
634920,,841740,2332.4,21065,41362
566680,768040,768040,1674.5,20162,34154
475190,657850,657850,1063.5,19050,27526
392070,,553680,962.34,17911,22974
331030,475360,475360,975.12,16815,21595
290750,,422240,999.64,15797,20909
266020,386990,386990,1001.6,14882,19335
251080,,363940,748.18,14067,17769
237390,,344340,548.22,13368,16316
221130,322650,322650,626.85,12835,15416
204420,,301050,422.41,12369,15060
188670,280620,280620,499.91,11913,14534
173870,,261090,453.19,11496,13527
160180,242750,242750,401.4,11089,12560
147760,226210,226210,350.68,10757,12002
136580,211900,211900,300.8,10442,12225
126740,,204970,317.01,10263,19860
118310,204270,204270,725.43,10153,30311
111740,211660,211660,989.38,10242,46031
109080,239140,239140,2302.7,11274,77711
114210,325460,325460,2147.3,16461,154900
130390,458900,458900,2514.3,29089,233230
153190,,528280,2012.3,41821,229920
174990,510310,510310,1832.6,47714,174860
190930,,472730,1751.4,48476,121710
198260,440730,440730,2121.7,46227,87638
197750,414700,414700,1642.8,42974,68279
192200,,394890,2006.3,39832,59940
187640,391000,391000,2702.2,37758,62491
192410,422600,422600,3139.4,37968,77344
204980,469350,469350,2800.2,40026,89868
215940,500400,500400,2448.6,42112,99403
220840,523320,523320,1920.4,43754,117090
219530,562880,562880,1741.6,47421,175490
214790,664010,664010,1592.5,54601,278670
209010,723510,723510,2602,61210,319360
205670,697810,697810,6887,72867,285680
225640,766860,766860,8663.4,111400,274140
270570,,897450,9841.8,146120,279650
306850,,955820,8736.5,146900,260600
320910,940210,940210,5576,131570,224060
316100,879940,879940,4254,109280,187750
296360,,798730,3614.2,88675,158740
270270,712480,712480,2880.2,72911,138750
243880,636460,636460,1868.3,61816,125480
220130,565070,565070,1480.1,53727,110220
199810,503310,503310,1255.4,47598,96708
182670,,454240,1247.3,42449,86826
167560,408760,408760,1519.8,37065,76208
154160,369270,369270,1348.8,32649,66942
142330,336480,336480,1290.8,29168,59687
131550,,308630,944.36,26350,53754
121670,,284230,1303.5,23972,48669
112560,262460,262460,1284.9,21926,44397
104270,243180,243180,1043.3,20155,41056
96876,225580,225580,661.26,18601,38028
90438,210120,210120,604.82,17244,35794
84822,197990,197990,546.03,16056,34795
79941,,188940,824.72,15312,35784
75668,185390,185390,815.6,15029,39729
71772,182510,182510,638.67,14962,42326
68075,176980,176980,800.42,15088,41643
64376,171240,171240,1060.4,15210,41316
60755,166340,166340,917.92,15185,41194
57629,160450,160450,898.31,14983,40434
55608,161800,161800,1530.2,14635,44609
53987,160850,160850,1042.1,14149,44820
52279,156090,156090,945.48,13586,42604
50799,,158410,1123,13085,46283
49234,,160710,953.99,12580,49302
47586,,161100,866.04,12181,48083
45825,151000,151000,700.84,11842,38960
43869,137450,137450,513.91,11423,29344
41759,,126940,517.2,11020,23642
39559,117300,117300,429.23,10582,19592
37361,109060,109060,398.36,10123,16941
35225,102010,102010,417.73,9660.5,15598
33300,97112,97112,399.35,9224.2,16126
31603,,96067,344.88,8797.8,20436
29990,,99748,300.61,8377.9,28431
28430,104000,104000,369.69,8020.4,36080
26982,,103940,404.59,7677.5,38017
25639,96174,96174,377.36,7328.5,33242
24360,89745,89745,376.05,6995.4,30176
23148,,82951,325.32,6671.6,26129
21959,74907,74907,275.04,6360.3,21346
20758,69144,69144,241.93,6062.2,18209
19609,61871,61871,214.98,5777.3,14021
18538,56880,56880,210.06,5508.2,11767
17545,52857,52857,180.15,5260.9,10344
16628,50105,50105,175.17,5033,9795.1
15769,47503,47503,197.77,4817.3,9355.1
14948,45569,45569,166.05,4610.1,9372.3
14157,,43319,159.15,4406.6,8768.5
13397,,39913,145.23,4205.9,7344
12674,,37345,150.52,4010,6541.7
11993,34853,34853,137.37,3821.8,5791.3
11354,32810,32810,129.68,3643.3,5356.5
10753,30997,30997,126.23,3474.7,5041.9
10188,29339,29339,125.4,3314.9,4780.6
9662.5,27792,27792,118.24,3163.9,4532.6
9176.6,26344,26344,115.58,3022.4,4291.7
8726.9,25011,25011,110.61,2890.6,4057.5
8315.7,23744,23744,104.05,2769.8,3819.8
7945.1,,22642,93.638,2660.1,3639.2
7609.9,21651,21651,92.857,2560,3492.3
7303.9,,21073,90.339,2469.8,3823.9
7021.3,20962,20962,95.109,2383.3,4377.3
6758.3,20398,20398,91.838,2296.3,4308.8
6511.9,19236,19236,86.157,2213.1,3798.9
6279.6,18118,18118,80.985,2133.3,3299.3
6059.7,17147,17147,78.307,2057.5,2929.6
5850.8,16337,16337,76.019,1985.6,2686.8
5651.8,,15661,77.829,1916.9,2542.3
5461.2,15056,15056,76.089,1850.6,2438.3
5278.5,14486,14486,80.284,1786.8,2345.4
5103.7,,13944,69.368,1725.8,2256.8
4936.2,13415,13415,67.085,1667.6,2152.6
4775.6,12900,12900,69.951,1612.3,2050.9
4621.2,12427,12427,61.057,1559.6,1968.2
4472.6,,11985,64.518,1508.8,1896.4
4329.3,11562,11562,59.465,1459.6,1827.5
4191,11156,11156,58.185,1412,1761.2
4057.5,10769,10769,52.284,1366.4,1697.5
3928.7,10400,10400,51.917,1323,1636.9
3804.3,,10048,46.228,1281.8,1579.4
3683.6,9711.7,9711.7,49.688,1242.4,1524.6
3566.6,9388.4,9388.4,48.98,1204.5,1472.1
3452.9,9076.9,9076.9,46.073,1167.6,1421.6
3342.4,,8776.6,43.994,1131.7,1372.9
3235.3,8490.9,8490.9,45.336,1096.7,1326.5
3131.5,8227.2,8227.2,43.886,1064.9,1290
3031.2,,7992.2,42.857,1034.8,1261.9
2934.8,7767.1,7767.1,43.599,1005,1225.1
2842.7,7527.6,7527.6,41.703,977.59,1181.4
2754.9,7293.6,7293.6,41.057,952.4,1141.1
2671.4,,7079.1,39.685,928.84,1105
2592.8,6881,6881,37.339,906.27,1077.2
2517.6,6694.5,6694.5,36.325,884.34,1050.6
2444,6509.1,6509.1,35.25,862.97,1020
2373,6328.5,6328.5,30.12,842.19,991.13
2304.7,6154.1,6154.1,31.8,822.1,963.59
2238.9,,5985,31.567,802.56,937.38
2175.3,5820.5,5820.5,30.225,783.59,912.35
2113.9,5660.9,5660.9,28.179,765.16,888.61
2054.6,5506.7,5506.7,31.151,747.25,865.81
1997.3,5357.4,5357.4,30.925,729.97,843.78
1941.9,,5213.1,31.81,713.31,822.53
1888.2,5073.6,5073.6,28.841,697.26,801.84
1836.2,4938.7,4938.7,30.367,681.8,781.94
1785.9,,4808.2,30.138,666.92,762.63
1737.1,4682,4682,29.17,652.64,743.86
1689.8,4562.3,4562.3,27.546,640.08,725.63
1644,,4445,26.735,627.34,707.96
1599.7,4328.5,4328.5,24.04,613.63,690.86
1556.6,4216,4216,24.04,600.68,674.3
1515,4106.7,4106.7,22.63,588.09,658.25
1474.5,4000.9,4000.9,21.87,575.97,642.68
1435.4,3898.4,3898.4,20.153,564.23,627.58
1397.5,3798.9,3798.9,23.525,552.74,612.9
1360.8,3702.5,3702.5,22.556,541.38,599.96
